folder,frame_count,crop_size,crop_top,crop_left,crop_height,crop_width,metric_definition,value,valid_sample_count,warning_flags,split_method_count,minimum_split_map_correlation,median_split_map_correlation,observed_stable_component_std_dn,split_difference_component_std_dn,stable_to_temporal_ratio,highpass_sigma_px
1,200,512,2304,2304,512,512,"Minimum correlation across odd/even, half, and non-overlapping block split maps.",0.9202586615100028,3,,3,0.9202586615100028,0.98905027869897,88.17822957742018,9.303383977905542,9.478081285995854,8.0
2,200,512,2304,2304,512,512,"Minimum correlation across odd/even, half, and non-overlapping block split maps.",0.9197757034728858,3,,3,0.9197757034728858,0.9394063286374305,17.867927506178575,4.510708425285104,3.961224229440016,8.0
4,200,512,2304,2304,512,512,"Minimum correlation across odd/even, half, and non-overlapping block split maps.",0.9760938040569822,3,,3,0.9760938040569822,0.9893946502599041,128.57760271404013,13.25084931882822,9.703348036064629,8.0
5,200,512,2304,2304,512,512,"Minimum correlation across odd/even, half, and non-overlapping block split maps.",0.9847389995158388,3,,3,0.9847389995158388,0.9968956263459773,544.527852969119,30.480145920946654,17.86500151217803,8.0
7,200,512,2304,2304,512,512,"Minimum correlation across odd/even, half, and non-overlapping block split maps.",0.9870599220572979,3,,3,0.9870599220572979,0.9925773395951275,200.40101761130427,17.30339996757757,11.581597719916768,8.0
8,200,512,2304,2304,512,512,"Minimum correlation across odd/even, half, and non-overlapping block split maps.",0.9877083342671875,3,,3,0.9877083342671875,0.9911897717939188,167.0142256446534,15.635185432655756,10.681947224995895,8.0
9,200,512,2304,2304,512,512,"Minimum correlation across odd/even, half, and non-overlapping block split maps.",0.9731418931490436,3,,3,0.9731418931490436,0.9755425069220474,62.580980043341306,9.871783789991689,6.339379120801631,8.0
10,200,512,2304,2304,512,512,"Minimum correlation across odd/even, half, and non-overlapping block split maps.",0.9575929397339217,3,,3,0.9575929397339217,0.9589201867014149,38.37330903946914,7.857016938140874,4.883953966446333,8.0
11,200,512,2304,2304,512,512,"Minimum correlation across odd/even, half, and non-overlapping block split maps.",0.9356597221151947,3,,3,0.9356597221151947,0.9369649675132462,23.827261739427964,6.126392711836843,3.8892808313432403,8.0
13,200,512,2304,2304,512,512,"Minimum correlation across odd/even, half, and non-overlapping block split maps.",0.9097548828151988,3,,3,0.9097548828151988,0.9103910517406637,12.896051352755336,3.9594454490729705,3.25703473343084,8.0
