content_id,seed,content_round_trip_max_error_dn,noisy_round_trip_max_error_dn,residual_reconstruction_max_error_dn,residual_reconstruction_std_relative_error,residual_reconstruction_mean_error_dn,round_trip_zero_ratio_change,round_trip_one_ratio_change,round_trip_dtype,round_trip_shape,tiff_compression,tiff_readable
content_077,20260717,0.0,0.5,0.5,1.376619853838342e-05,-0.0003043739125132561,0.0,0.0,uint16,512x512,NONE,True
content_077,20260718,0.0,0.5,0.5,4.956922937843355e-06,0.00019563641399145126,0.0,0.0,uint16,512x512,NONE,True
content_077,20260719,0.0,0.5,0.5,1.5095192356231377e-06,0.00038403086364269257,0.0,0.0,uint16,512x512,NONE,True
content_014,20260717,0.0,0.5,0.5,1.3745206467118572e-05,-0.00020213238894939423,0.0,0.0,uint16,512x512,NONE,True
content_014,20260718,0.0,0.5,0.5,4.2813344642059794e-06,0.000230434350669384,0.0,0.0,uint16,512x512,NONE,True
content_014,20260719,0.0,0.5,0.5,1.4594599240634305e-06,0.00030753668397665024,0.0,0.0,uint16,512x512,NONE,True
content_080,20260717,0.0,0.5,0.5,1.352879640146021e-05,-0.00027401186525821686,0.0,0.0,uint16,512x512,NONE,True
content_080,20260718,0.0,0.5,0.5,4.928630418283257e-06,0.000173286534845829,0.0,0.0,uint16,512x512,NONE,True
content_080,20260719,0.0,0.5,0.5,2.6235121425795486e-06,0.0003075292333960533,0.0,0.0,uint16,512x512,NONE,True
content_043,20260717,0.0,0.5,0.5,1.3638057668486416e-05,-0.00034303218126296997,0.0,0.0,uint16,512x512,NONE,True
content_043,20260718,0.0,0.5,0.5,5.223529720964008e-06,0.0001919502392411232,0.0,0.0,uint16,512x512,NONE,True
content_043,20260719,0.0,0.5,0.5,1.7518256359110968e-06,0.00037088338285684586,0.0,0.0,uint16,512x512,NONE,True
content_064,20260717,0.0,0.5,0.5,1.3294301779352164e-05,-0.0003047846257686615,0.0,0.0,uint16,512x512,NONE,True
content_064,20260718,0.0,0.5,0.5,5.341782490377449e-06,0.00020753219723701477,0.0,0.0,uint16,512x512,NONE,True
content_064,20260719,0.0,0.5,0.5,1.2206454375663762e-06,0.00032253749668598175,0.0,0.0,uint16,512x512,NONE,True
content_042,20260717,0.0,0.5,0.5,1.3714464234425528e-05,-0.0002621263265609741,0.0,0.0,uint16,512x512,NONE,True
content_042,20260718,0.0,0.5,0.5,5.0442822504235486e-06,0.0002371184527873993,0.0,0.0,uint16,512x512,NONE,True
content_042,20260719,0.0,0.5,0.5,1.6272847673114434e-06,0.000293562188744545,0.0,0.0,uint16,512x512,NONE,True
content_002,20260717,0.0,0.5,0.5,1.380651411006392e-05,-0.00034306198358535767,0.0,0.0,uint16,512x512,NONE,True
content_002,20260718,0.0,0.5,0.5,3.886605323265713e-06,0.0001954101026058197,0.0,0.0,uint16,512x512,NONE,True
content_002,20260719,0.0,0.5,0.5,1.6738559948350536e-06,0.00036587752401828766,0.0,0.0,uint16,512x512,NONE,True
content_006,20260717,0.0,0.5,0.5,1.256756276311421e-05,-0.00022097676992416382,0.0,0.0,uint16,512x512,NONE,True
content_006,20260718,0.0,0.5,0.5,5.1745875521078495e-06,0.0002325344830751419,0.0,0.0,uint16,512x512,NONE,True
content_006,20260719,0.0,0.5,0.5,2.426441304435822e-06,0.0003111269325017929,0.0,0.0,uint16,512x512,NONE,True
