strategy,folder,selected_candidates,pair_count,mean_psnr_gain,positive_pair_fraction,mean_gradient_ratio_to_noisy,min_gradient_ratio_to_noisy
always_noisy,1,always_noisy,8,0.0,0.0,1.0,1.0
always_noisy,2,always_noisy,8,0.0,0.0,1.0,1.0
always_noisy,4,always_noisy,8,0.0,0.0,1.0,1.0
always_noisy,5,always_noisy,8,0.0,0.0,1.0,1.0
always_noisy,7,always_noisy,8,0.0,0.0,1.0,1.0
always_noisy,8,always_noisy,8,0.0,0.0,1.0,1.0
always_noisy,9,always_noisy,8,0.0,0.0,1.0,1.0
always_noisy,10,always_noisy,8,0.0,0.0,1.0,1.0
always_noisy,11,always_noisy,8,0.0,0.0,1.0,1.0
always_noisy,13,always_noisy,8,0.0,0.0,1.0,1.0
always_p99,1,always_p99,8,0.018927264727891746,0.875,0.9952180892058808,0.9951868493054513
always_p99,2,always_p99,8,0.05770438858654092,1.0,0.9945710611258465,0.9944543572460551
always_p99,4,always_p99,8,0.049014147065410185,1.0,0.9948994013682344,0.9948597995794538
always_p99,5,always_p99,8,0.07176832253593268,1.0,0.9957013606375961,0.995678145848583
always_p99,7,always_p99,8,0.04419577587630652,1.0,0.9950604202175236,0.9950428585643908
always_p99,8,always_p99,8,0.04781405896956592,1.0,0.994974608342166,0.9949518233086847
always_p99,9,always_p99,8,0.03251902328594092,1.0,0.9946495872319062,0.9946094115377603
always_p99,10,always_p99,8,0.027230007130046197,1.0,0.9945276421818936,0.9944959286209352
always_p99,11,always_p99,8,0.041892089464564464,1.0,0.9944210800819628,0.994367453701283
always_p99,13,always_p99,8,0.001300970963413306,0.5,0.9946551887592154,0.9945768084956418
always_physical,1,always_physical,8,-0.007677781716053822,0.375,0.9992701401716482,0.9992414814461359
always_physical,2,always_physical,8,-0.13953751893089272,0.0,0.9999998273371178,0.9999998131689485
always_physical,4,always_physical,8,0.3745487149231179,1.0,0.9684997526248519,0.9681575849813024
always_physical,5,always_physical,8,1.4197752420955032,1.0,0.8613521399309084,0.8607279975892254
always_physical,7,always_physical,8,0.9774107642927472,1.0,0.9165292071693869,0.916121851441356
always_physical,8,always_physical,8,0.8227009364175979,1.0,0.9354080992471385,0.9347923050668012
always_physical,9,always_physical,8,0.06546207090311462,1.0,0.9943887924620137,0.9942883512376742
always_physical,10,always_physical,8,0.008767473500813416,0.625,0.9988727280520499,0.9988316658917566
always_physical,11,always_physical,8,-0.0553350826838086,0.0,0.9999994576504732,0.999998892340848
always_physical,13,always_physical,8,-0.03542809733547081,0.5,0.9999999558842717,0.999999943949511
lofo_best_hard,1,hard_q40,8,0.018927264727891746,0.875,0.9952180892058808,0.9951868493054513
lofo_best_hard,2,hard_q40,8,0.05770438858654092,1.0,0.9945710611258465,0.9944543572460551
lofo_best_hard,4,hard_q60,8,0.3745487149231179,1.0,0.9684997526248519,0.9681575849813024
lofo_best_hard,5,hard_q60,8,1.4197752420955032,1.0,0.8613521399309084,0.8607279975892254
lofo_best_hard,7,hard_q60,8,0.9774107642927472,1.0,0.9165292071693869,0.916121851441356
lofo_best_hard,8,hard_q60,8,0.8227009364175979,1.0,0.9354080992471385,0.9347923050668012
lofo_best_hard,9,hard_q60,8,0.03251902328594092,1.0,0.9946495872319062,0.9946094115377603
lofo_best_hard,10,hard_q40,8,0.008767473500813416,0.625,0.9988727280520499,0.9988316658917566
lofo_best_hard,11,hard_q40,8,0.041892089464564464,1.0,0.9944210800819628,0.994367453701283
lofo_best_hard,13,hard_q40,8,0.001300970963413306,0.5,0.9946551887592154,0.9945768084956418
lofo_best_linear,1,linear_q40_q60,8,0.018927264727891746,0.875,0.9952180892058808,0.9951868493054513
lofo_best_linear,2,linear_q40_q60,8,0.05770438858654092,1.0,0.9945710611258465,0.9944543572460551
lofo_best_linear,4,linear_q40_q60,8,0.3745487149231179,1.0,0.9684997526248519,0.9681575849813024
lofo_best_linear,5,linear_q40_q60,8,1.4197752420955032,1.0,0.8613521399309084,0.8607279975892254
lofo_best_linear,7,linear_q40_q60,8,0.9774107642927472,1.0,0.9165292071693869,0.916121851441356
lofo_best_linear,8,linear_q40_q60,8,0.8227009364175979,1.0,0.9354080992471385,0.9347923050668012
lofo_best_linear,9,linear_q40_q60,8,0.061028552177949,1.0,0.9944736620702161,0.9944099969258571
lofo_best_linear,10,linear_q40_q60,8,0.028261337434479117,1.0,0.994635942972673,0.9946049365840061
lofo_best_linear,11,linear_q40_q60,8,0.041892089464564464,1.0,0.9944210800819628,0.994367453701283
lofo_best_linear,13,linear_q40_q60,8,0.001300970963413306,0.5,0.9946551887592154,0.9945768084956418
