run_seed,model,folder,raw_temporal_variance_DN2,output_temporal_variance_DN2,corrected_temporal_variance_DN2,raw_temporal_reduction,corrected_temporal_reduction
20260719,G,2,2028.6426129181064,1958.3013874123026,1958.3076049203282,0.03467403526766166,0.034670970406465274
20260719,CG_NC,2,2028.6426129181064,1938.382407731123,1938.3924378592806,0.0444929060506859,0.04448796179481074
20260720,G,2,2028.6426129181064,1903.5143048496304,1903.5461141012784,0.06168080433274781,0.06166512426596549
20260720,CG_NC,2,2028.6426129181064,1867.0553368878116,1866.9410871126536,0.07965290436143369,0.07970922269687153
20260721,G,2,2028.6426129181064,2005.7307379387485,2005.6871808577778,0.011294189934421328,0.011315660981461972
20260721,CG_NC,2,2028.6426129181064,2010.368176925499,2010.3456654387314,0.0090082086791623,0.009019305501551944
20260719,G,5,78390.62112525519,76615.46031821783,76615.54849219121,0.022645066228024313,0.022643941425437908
20260719,CG_NC,5,78390.62112525519,75967.76730905598,75968.0393136598,0.030907445067030248,0.030903975205458623
20260720,G,5,78390.62112525519,75047.95654911947,75048.70015239758,0.042641128851303556,0.042631642980832773
20260720,CG_NC,5,78390.62112525519,74911.42882816949,74910.43232119772,0.04438276221241477,0.0443954742812499
20260721,G,5,78390.62112525519,77927.55744619228,77936.00828304063,0.0059071311391066805,0.005799326956322459
20260721,CG_NC,5,78390.62112525519,77383.81756451499,77390.8356826982,0.012843418591255928,0.01275389106765068
20260719,G,9,9785.796742967772,9442.389088598879,9442.392712605231,0.03509245730202515,0.03509208696873012
20260719,CG_NC,9,9785.796742967772,9346.73672802028,9346.744787310578,0.04486706872008228,0.04486624514991122
20260720,G,9,9785.796742967772,9284.415260793212,9284.456646212275,0.051235632145625765,0.05123140301435014
20260720,CG_NC,9,9785.796742967772,9092.67889979268,9092.615766221483,0.07082896379113712,0.0708354153425903
20260721,G,9,9785.796742967772,9722.354805577388,9722.335025434792,0.006483063061367367,0.006485084372775729
20260721,CG_NC,9,9785.796742967772,9620.694325221062,9620.679917594905,0.01687163775043199,0.01687311005018799
20260719,G,11,3825.0834238330326,3691.7195101584925,3691.7274544000356,0.03486562223547507,0.03486354535487857
20260719,CG_NC,11,3825.0834238330326,3653.824403320223,3653.8371965703955,0.04477262363632173,0.04476927906869943
20260720,G,11,3825.0834238330326,3621.018099612016,3621.040785188649,0.053349248005819194,0.0533433172654616
20260720,CG_NC,11,3825.0834238330326,3552.3382722749548,3552.2327265937133,0.07130436681685914,0.07133195985720531
20260721,G,11,3825.0834238330326,3790.2697601806935,3790.2311113863693,0.009101412909173434,0.009111516948756782
20260721,CG_NC,11,3825.0834238330326,3767.8584027937763,3767.831213140491,0.014960463524194778,0.014967571775250432
