metric_id,formal_name,definition,paper_status,prohibited_name_or_claim,input_residual,unit
M01,pixelwise temporal noise standard deviation,"sample std over 200 raw-DN frames at each pixel, ddof=1",formal operational,standard temporal dark noise,frame-mean-centered temporal residual for M05-M09; raw temporal residual otherwise,"DN, DN^2, pixel lag, or cycles/pixel as applicable"
M02,difference-frame temporal noise estimate,mean squared frame difference divided by two,formal operational,strict difference-frame PTC,frame-mean-centered temporal residual for M05-M09; raw temporal residual otherwise,"DN, DN^2, pixel lag, or cycles/pixel as applicable"
M03,frame-count convergence,subset estimate relative to N=200 internal reference,formal operational,proof that N=200 is truth,frame-mean-centered temporal residual for M05-M09; raw temporal residual otherwise,"DN, DN^2, pixel lag, or cycles/pixel as applicable"
M04,frame-level DC drift,frame ROI mean trend and split change,formal with time-scale limitation,physical drift rate without frame interval,frame-mean-centered temporal residual for M05-M09; raw temporal residual otherwise,"DN, DN^2, pixel lag, or cycles/pixel as applicable"
M05,row/column profile energy of temporal residual,RMS of row/column means of frame-mean-centered temporal residual,formal operational,DSNU or PRNU,frame-mean-centered temporal residual for M05-M09; raw temporal residual otherwise,"DN, DN^2, pixel lag, or cycles/pixel as applicable"
M06,2D covariance of temporal residual,"non-circular covariance averaged over frames, lag +/-16",formal operational,detector-component decomposition,frame-mean-centered temporal residual for M05-M09; raw temporal residual otherwise,"DN, DN^2, pixel lag, or cycles/pixel as applicable"
M07,horizontal/vertical/radial autocorrelation,covariance normalized by zero-lag variance,formal operational,physical coupling kernel,frame-mean-centered temporal residual for M05-M09; raw temporal residual otherwise,"DN, DN^2, pixel lag, or cycles/pixel as applicable"
M08,2D temporal-residual noise power spectrum,2D Hann-windowed periodogram averaged over centered residual frames,formal operational,scene spectrum or cycles/mm,frame-mean-centered temporal residual for M05-M09; raw temporal residual otherwise,"DN, DN^2, pixel lag, or cycles/pixel as applicable"
M09,directional temporal-residual spectrum,"horizontal, vertical and diagonal NPS slices in cycles/pixel",formal operational,optical MTF,frame-mean-centered temporal residual for M05-M09; raw temporal residual otherwise,"DN, DN^2, pixel lag, or cycles/pixel as applicable"
M10,repeatable observed stable component,split high-pass mean-map repeatability and strength,limited operational,pure FPN,frame-mean-centered temporal residual for M05-M09; raw temporal residual otherwise,"DN, DN^2, pixel lag, or cycles/pixel as applicable"
M11,Fano-like variance-to-mean operational statistic in DN,folder mean temporal variance divided by observed mean DN,exploratory only,"Fano factor, photon gain, conversion gain",frame-mean-centered temporal residual for M05-M09; raw temporal residual otherwise,"DN, DN^2, pixel lag, or cycles/pixel as applicable"
M12,observed-signal-conditioned noise-strength model,sigma_DN(s)=0.059136757483193435 s from calibration folders,restoration-model support,"exposure-, gate-, irradiance-, or photon-conditioned model",frame-mean-centered temporal residual for M05-M09; raw temporal residual otherwise,"DN, DN^2, pixel lag, or cycles/pixel as applicable"
